Name,Profession,Degree,Field,Institution,Graduation Year,Country,University Global Ranking,GPA (or Equivalent),Scholarship/Award
Reinhard Genzel,Astrophysicist,Doctor of Philosophy,Physics,University of Bonn,1978,Germany,NaN,NaN,Nobel Prize in Physics 2020
Donna Strickland,Physicist,Doctor of Philosophy,Physics,University of Rochester,1989,USA,NaN,NaN,Nobel Prize in Physics 2018
Rainer Weiss,Physicist,Doctor of Philosophy,Physics,Massachusetts Institute of Technology,1962,USA,1,NaN,Nobel Prize in Physics 2017
Barry Barish,Physicist,Doctor of Philosophy,Physics,University of California Berkeley,1962,USA,10,NaN,Nobel Prize in Physics 2017
Adam Riess,Astrophysicist,Doctor of Philosophy,Astrophysics,Harvard University,1996,USA,5,NaN,Nobel Prize in Physics 2011
Saul Perlmutter,Astrophysicist,Doctor of Philosophy,Physics,University of California Berkeley,1986,USA,10,NaN,Nobel Prize in Physics 2011
Brian Schmidt,Astrophysicist,Doctor of Philosophy,Astronomy,Harvard University,1993,USA,5,NaN,Nobel Prize in Physics 2011
Takaaki Kajita,Physicist,Doctor of Science,Physics,University of Tokyo,1986,Japan,26,NaN,Nobel Prize in Physics 2015
Arthur McDonald,Physicist,Doctor of Philosophy,Physics,California Institute of Technology,1969,USA,7,NaN,Nobel Prize in Physics 2015
François Englert,Physicist,Doctor of Philosophy,Physics,Université Libre de Bruxelles,1959,Belgium,NaN,NaN,Nobel Prize in Physics 2013
Peter Higgs,Physicist,Doctor of Philosophy,Physics,King's College London,1954,UK,35,NaN,Nobel Prize in Physics 2013
Serge Haroche,Physicist,Doctor of Philosophy,Physics,Université Paris VI,1971,France,NaN,NaN,Nobel Prize in Physics 2012
David Wineland,Physicist,Doctor of Philosophy,Physics,Harvard University,1970,USA,5,NaN,Nobel Prize in Physics 2012
Andre Geim,Physicist,Doctor of Philosophy,Physics,Institute for Solid State Physics,1987,Russia,NaN,NaN,Nobel Prize in Physics 2010
Konstantin Novoselov,Physicist,Doctor of Philosophy,Physics,Radboud University,2004,Netherlands,NaN,NaN,Nobel Prize in Physics 2010
Charles Kao,Physicist,Doctor of Philosophy,Electrical Engineering,Imperial College London,1965,UK,73,NaN,Nobel Prize in Physics 2009
Willard Boyle,Physicist,Doctor of Philosophy,Physics,McGill University,1950,Canada,31,NaN,Nobel Prize in Physics 2009
George Smith,Physicist,Doctor of Philosophy,Physics,University of Chicago,1959,USA,10,NaN,Nobel Prize in Physics 2009
Yoichiro Nambu,Physicist,Doctor of Science,Physics,University of Tokyo,1952,Japan,26,NaN,Nobel Prize in Physics 2008
Makoto Kobayashi,Physicist,Doctor of Science,Physics,Nagoya University,1972,Japan,NaN,NaN,Nobel Prize in Physics 2008
Toshihide Maskawa,Physicist,Doctor of Science,Physics,Nagoya University,1967,Japan,NaN,NaN,Nobel Prize in Physics 2008
Albert Fert,Physicist,Doctor of Philosophy,Physics,Université Paris-Sud,1970,France,NaN,NaN,Nobel Prize in Physics 2007
Peter Grünberg,Physicist,Doctor of Philosophy,Physics,Technische Universität Darmstadt,1969,Germany,NaN,NaN,Nobel Prize in Physics 2007
John Mather,Astrophysicist,Doctor of Philosophy,Physics,University of California Berkeley,1974,USA,10,NaN,Nobel Prize in Physics 2006
George Smoot,Astrophysicist,Doctor of Philosophy,Physics,Massachusetts Institute of Technology,1970,USA,1,NaN,Nobel Prize in Physics 2006
Roy Glauber,Physicist,Doctor of Philosophy,Physics,Harvard University,1949,USA,5,NaN,Nobel Prize in Physics 2005
John Hall,Physicist,Doctor of Philosophy,Physics,Carnegie Institute of Technology,1961,USA,NaN,NaN,Nobel Prize in Physics 2005
Theodor Hänsch,Physicist,Doctor of Philosophy,Physics,Heidelberg University,1969,Germany,NaN,NaN,Nobel Prize in Physics 2005
David Gross,Physicist,Doctor of Philosophy,Physics,University of California Berkeley,1966,USA,10,NaN,Nobel Prize in Physics 2004
Ratan Tata,Business Leader,Bachelor of Science,Architecture,Cornell University,1962,USA,21,NaN,Tata Group Chairman
N R Narayana Murthy,Tech Entrepreneur,Master of Technology,Electrical Engineering,Indian Institute of Technology Kanpur,1969,India,NaN,NaN,Infosys Founder
Azim Premji,Business Leader,Bachelor of Engineering,Electrical Engineering,Stanford University,1966,USA,3,NaN,Wipro Chairman
Kiran Mazumdar-Shaw,Entrepreneur,Master of Science,Malting and Brewing,Ballarat University,1975,Australia,NaN,NaN,Biocon Founder
Jack Welch,Business Executive,Doctor of Philosophy,Chemical Engineering,University of Illinois,1960,USA,65,NaN,GE CEO
Anne Hathaway,Actress,Attended,English,Vassar College,2004,USA,NaN,NaN,Oscar Winner
Matt Damon,Actor,Attended,English,Harvard University,1992,USA,5,NaN,Oscar Winner
Conan Gray,Musician,Bachelor of Arts,Media Studies,University of California Los Angeles,2019,USA,14,NaN,Music Artist
John Williams,Composer,Music Studies,Music Composition,Juilliard School,1955,USA,NaN,NaN,5x Oscar Winner
Hans Zimmer,Composer,Self-Taught,Music,Music Training,NaN,Germany,NaN,NaN,2x Oscar Winner
Quincy Jones,Music Producer,Music Studies,Music,Berklee College of Music,1951,USA,NaN,NaN,28x Grammy Winner
David Bowie,Musician,Art School,Commercial Art,Bromley Technical High School,1963,UK,NaN,NaN,Music Icon
Prince,Musician,High School Graduate,NaN,Central High School,1976,USA,NaN,NaN,7x Grammy Winner
Freddie Mercury,Musician,Diploma,Art and Graphic Design,Ealing Art College,1969,UK,NaN,NaN,Queen Frontman
Bruce Springsteen,Musician,Attended,NaN,Ocean County College,1967,USA,NaN,NaN,20x Grammy Winner
Bob Dylan,Musician,Attended,Music,University of Minnesota,1960,USA,NaN,NaN,Nobel Prize in Literature 2016
Aretha Franklin,Musician,Honorary Doctorate,Music,Multiple Universities,NaN,USA,NaN,NaN,18x Grammy Winner
Elton John,Musician,Music Studies,Music,Royal Academy of Music,1964,UK,NaN,NaN,5x Grammy Winner
Billie Eilish,Musician,Home-Schooled,NaN,Home Education,2018,USA,NaN,NaN,9x Grammy Winner
Ed Sheeran,Musician,Dropped Out,Music,Academy of Contemporary Music,2009,UK,NaN,NaN,4x Grammy Winner
Adele,Musician,Diploma,Performing Arts,BRIT School,2006,UK,NaN,NaN,16x Grammy Winner
Sam Smith,Musician,Youth Music Theatre,Performing Arts,Youth Music Theatre UK,2007,UK,NaN,NaN,4x Grammy Winner
Dua Lipa,Musician,Theatre School,Performing Arts,Sylvia Young Theatre School,2013,UK,NaN,NaN,6x Grammy Winner
